"Data","Shizuka_boot","Ascanio_boot","Ascanio_perm"
"amlc_coun",0.639229580363797,0.754148400718005,0.22853771948088
"enron",0.924806637602461,0.954383090888935,0.192017105063705
"ingre",0.583526480747917,0.822714376128912,0.420868267125074
"innov",0.828138463631867,0.911206879863719,0.37377224990518
"otu",0.615512722517789,0.669241923225995,0.176454690785164
"rfid",0.833071193198588,0.876650264599387,0.196810471976401
"rnd",0.107728656178505,0.558633532184173,0.502900517550453
"sparrow",0.83915995945167,0.920387543784433,0.364270575271315
"tho",0.40651536497802,0.638092170487833,0.340495635032385
"tit",0.986211361250408,0.99152101991099,0.333728233174832
"uk",0.927988629009781,0.942715984451417,0.23002588028587
