node,attribute
algal_tumors,disease
aspergillosis,disease
bacterial_bleaching,disease
black_band_disease,disease
bleaching_association,disease
brown_band_syndrome,disease
brown_jelly_syndrome,disease
Caribbean_Ciliate_infection,disease
cyanobacterial_infection,disease
dark_discoloration,disease
Dark_spot_disease,disease
Growth_anomalies,disease
invasive_gastrovascular_multicellular_structure,disease
multifocal_purple_spots,disease
multiple_diseases,disease
paling_and_necrosis,disease
pink_syndrome,disease
porites_apical_lesion,disease
rapid_wasting_disease,disease
Red_Band_Disease,disease
shut_down_reaction,disease
skeletal_eroding_band,disease
soft_coral_tissue_loss,disease
trematodiasis,disease
unnamed_disease,disease
white_band_disease,disease
white_plague,disease
white_pox,disease
white_syndrome,disease
yellow_band_disease,disease
yellow_spot_disease,disease
agulhas_bank,ecoregion
andaman_and_nicobar_islands,ecoregion
andaman_sea_coral_coast,ecoregion
bahamian,ecoregion
band_sea,ecoregion
bermuda,ecoregion
bismarck_sea,ecoregion
celtic_seas,ecoregion
central_kuroshio_current,ecoregion
central_southern_great_barrier_reef,ecoregion
chiapas_nicaragua,ecoregion
cocos_keeling/christmas_island,ecoregion
coral_sea,ecoregion
cortezian,ecoregion
delagoa,ecoregion
east_african_coral_coast,ecoregion
east_caroline_islands,ecoregion
eastern_brazil,ecoregion
eastern_caribbean,ecoregion
eastern_philippines,ecoregion
exmouth_to_broome,ecoregion
fiji_islands,ecoregion
floridian,ecoregion
greater_antilles,ecoregion
guayaquil,ecoregion
guianan,ecoregion
gulf_of_aden,ecoregion
gulf_of_oman,ecoregion
gulf_of_thailand,ecoregion
gulf_of_tonkin,ecoregion
hawaii,ecoregion
lesser_sunda,ecoregion
levantine_sea,ecoregion
line_islands,ecoregion
malacca_strait,ecoregion
maldives,ecoregion
mariana_islands,ecoregion
marshall_islands,ecoregion
mascarene_islands,ecoregion
mexican_tropical_pacific,ecoregion
new_caledonia,ecoregion
nicoya,ecoregion
ningaloo,ecoregion
northern_and_central_red_sea,ecoregion
northern_gulf_of_mexico,ecoregion
palawan/north_borneo,ecoregion
panama_bight,ecoregion
persian_gulf,ecoregion
phoenix/tokelau/northern_cook_islands,ecoregion
samoa_islands,ecoregion
solomon_archipielago,ecoregion
south_china_sea_oceanic_islands,ecoregion
south_india_and_sri_lanka,ecoregion
south_kuroshio,ecoregion
southeastern_brazil,ecoregion
southern_caribbean,ecoregion
southern_china,ecoregion
southern_gulf_of_mexico,ecoregion
southern_java,ecoregion
southern_red_sea,ecoregion
southwestern_caribbean,ecoregion
sulawesi_sea/makassar_strait,ecoregion
sunda_shelf/java_sea,ecoregion
torres_strait_northern_great_barrier_reef,ecoregion
tuamotus,ecoregion
tweed_moreton,ecoregion
west_caroline_islands,ecoregion
western_and_northern_madagascar,ecoregion
western_caribbean,ecoregion
western_india,ecoregion
western_mediterranean,ecoregion
western_sumatra,ecoregion
Acropora,genera
Agaricia,genera
Astreopora,genera
briaerum,genera
colpophyllia,genera
Ctenactis,genera
Cycloseris,genera
Cyphastrea,genera
dendrogyra,genera
Dichocoenia,genera
Diploria,genera
Echinopora,genera
Eunicea,genera
eunicella,genera
Favia,genera
Favites,genera
Fungia,genera
galaxea,genera
goniastrea,genera
goniopora,genera
gorgonia,genera
Herpolithia,genera
Hydnophora,genera
Icilogorgia,genera
leptogorgia,genera
leptoria,genera
madracis,genera
Madrepora,genera
Meandrina,genera
Montastraea,genera
montipora,genera
multiple_genera,genera
mussa,genera
mussismilia,genera
Oculina,genera
orbicella,genera
pachyseris,genera
Pacifigorgia,genera
paramuricea,genera
Pavona,genera
phyllogorgia,genera
Platygyra,genera
Pocillopora,genera
porites,genera
Psammocora,genera
pseudodiploria,genera
Pseudoplexaura,genera
Pseudopterogorgia,genera
sarcophyton,genera
seriatopora,genera
Siderastrea,genera
sinularia,genera
stephanocoenia,genera
stylophora,genera
Turbinaria,genera
advance_rate,topic
african_dust,topic
Alcaligenes,topic
algal_assemblage,topic
Alteromonas,topic
aplanochytrium,topic
aquaria,topic
archaeal_assemblage,topic
aspergillus,topic
Aurantimonas_coralicida,topic
Bacillus,topic
bacterial_assemblage,topic
ballast_water,topic
baseline,topic
Beggiatoa,topic
benthic_assemblage,topic
cell_associated_microbial_aggregates,topic
chemical_microenvironment,topic
ciliate_assemblage,topic
cirripedia_association,topic
climate_change,topic
colony_growth,topic
colony_morphology,topic
colony_transplantation,topic
commensal_bacteria,topic
commensal_microbe_metabolites,topic
coral_aggression,topic
coral_cover,topic
coral_diversity,topic
coral_fecundity,topic
coral_mortality,topic
coral_recruitment,topic
Coral_traits,topic
curvularia_lunata,topic
cyanobacterial_assemblage,topic
cyanobacterial_photosynthetic_performance,topic
Cytophaga-Flavobacterium,topic
database,topic
depth,topic
Desulfovibrio,topic
detection/diagnostic,topic
disease_control,topic
endolithic_organisms,topic
enso,topic
entocladia,topic
environmental_xenobiotic,topic
Fish_algae_farming,topic
fish_assemblage,topic
fish_predation,topic
fossil_record,topic
functional_structure,topic
fungal_assemblage,topic
fungal_biomass,topic
gall_crabs_presence,topic
Geitlerinema,topic
gene_expression,topic
Halofolliculina,topic
halobacteriovorax,topic
Hermodice_carunculata,topic
homeostatic_response,topic
host_range,topic
hurricane,topic
hydrozoans,topic
immune_response,topic
Koch's_postulates,topic
labyrinthulomycetes,topic
Leptolyngbya,topic
lesion_regeneration,topic
light,topic
macroalgae,topic
mathematical_model,topic
mechanical_injury,topic
mesophotic_corals,topic
meta-analysis,topic
metapopulation_dynamics,topic
method_comparison,topic
microalgal_assemblage,topic
microbial_assemblage,topic
microbial_interactions,topic
microbial_motility,topic
microsatellites,topic
mpa,topic
Myroides,topic
Oscillatoria,topic
outbreak,topic
pathogen_characterization,topic
pathogen_elicitor,topic
pathogen_infection,topic
pathogen_metabolites,topic
pathogenesis,topic
ph,topic
Phormidium,topic
Plagioporus,topic
Pneophyllum_coninum,topic
Podocotyloides_stenometra,topic
polychaete_predation,topic
population_structure,topic
Porpostoma_guamensis,topic
prevalence/incidence,topic
protein_expression,topic
pseudoalteromonas,topic
Pseudoscillatoria_coralli,topic
quorum_sensing,topic
regeneration_rate,topic
remote_sensing,topic
research_framework,topic
Resource_allocation,topic
Roseofilum,topic
salinity,topic
scolecobasidium,topic
sea_level_rise,topic
seagrasses_association,topic
season_effect,topic
sedimentation/turbidity,topic
serratia_marcescens,topic
sewage/nutrients,topic
sign_description,topic
snail_predation,topic
spatial_patterns,topic
Sphingomonas,topic
sponges,topic
starfish_predation,topic
reviews,topic
sulfate-reducing_bacterial_assemblage,topic
temperature,topic
temporal_pattern,topic
Thalassomonas_loyana,topic
tissue_chemical_composition,topic
tourism_impact,topic
transmission,topic
turf_algae,topic
up-welling,topic
urban_industrial_impact,topic
uv_absorption,topic
uv_radiation,topic
Vibrio,topic
viral_assemblage,topic
water_current,topic
water_dissolved_oxygen,topic
water_motion,topic
zooplankton,topic
zooxanthellae_assemblage,topic
zooxanthellae_damage,topic
zooxanthellae_photosynthetic_performance,topic
