"Data","Shizuka_boot","Ascanio_boot","Ascanio_perm","ExMod"
"alaska",0.577396302510259,0.744893717112637,0.371371643994668,NA
"amlc_coun",0.636759481584182,0.755418732131658,0.233761674039744,0.165250540320295
"bikes",0.985303989131494,0.983394383394383,0.207587496660433,0.357421875
"downwater",0.854484568538844,0.932714501420694,0.439658218496033,1.19253994089965e-18
"enron",0.918879557201838,0.953092121360411,0.189605566226459,0.0402885824357025
"got",0.96438095745917,0.97802792768076,0.210313662945242,0.343362939587638
"headwater",0.789883851465442,0.920176967114819,0.348618248463722,NA
"karate",0.804887020587861,0.888151109632955,0.383156297420334,0.337771203155819
"lesmis",0.890106948414116,0.937689923809908,0.264162176643944,0.359489635645938
"otu",0.60494537763299,0.681737591238641,0.175744070441976,0.174301610065244
"pekania",0.802258025628303,0.51027546098308,0,0.00845512748137269
"pomatostomus",0.23295166168791,0.361085598529693,0,0.00549060951076329
"reptile",0.508242333992127,0.761011607977163,0.299415345186609,0.0876843216238448
"rfid",0.834497039519379,0.862959916242895,0.195938197839339,0.0175890996394364
"rnd",0.112925654352785,0.548420131146458,0.502370917305292,NA
"ship",0.912320850850468,0.944993859673205,0.497362471740769,0.0398834318731524
"sparrow",0.830591573134629,0.900717279554675,0.365209636235407,0.0998181882812467
"tho",0.422903786955584,0.625866854314229,0.340290251760614,NA
"tit",0.985692480858155,0.988831086209452,0.334373973052908,0.153940743011717
"uk",0.919933283043172,0.944542000579874,0.229803415124121,0.133689482008343
